OID_,VALUE,COUNT,,112,,112
1,112,1,,143,,143
2,143,1,,146,,146
3,146,1,,148,,148
4,148,1,,150,,150
5,150,1,,151,,151
6,151,2,,151,,151
8,157,1,,157,,157
9,158,1,,158,,158
10,163,1,,163,,163
11,165,1,,165,,165
12,166,1,,166,,166
13,171,1,,171,,171
14,178,1,,178,,178
15,181,2,,181,,181
17,182,1,,181,,181
18,184,1,,182,,182
19,192,3,,184,,184
22,193,1,,192,,192
23,194,1,,192,,192
24,195,1,,192,,192
25,196,1,,193,,193
26,197,1,,194,,194
27,198,1,,195,,195
28,199,1,,196,,196
29,200,2,,197,,197
31,201,2,,198,,198
33,203,5,,199,,199
38,204,2,,200,,200
40,205,2,,200,,200
42,206,1,,201,,201
43,207,6,,201,,201
49,208,1,,203,,203
50,209,4,,203,,203
54,210,3,,203,,203
57,211,1,,203,,203
58,212,2,,203,,203
60,213,1,,204,,204
61,214,1,,204,,204
62,215,2,,205,,205
64,216,2,,205,,205
66,217,2,,206,,206
68,218,1,,207,,207
69,219,3,,207,,207
72,220,1,,207,,207
73,221,1,,207,,207
74,222,2,,207,,207
76,224,3,,207,,207
79,226,2,,208,,208
81,227,2,,209,,209
83,228,2,,209,,209
85,229,2,,209,,209
87,230,3,,209,,209
90,231,4,,210,,210
94,232,3,,210,,210
97,233,3,,210,,210
100,234,3,,211,,211
103,235,4,,212,,212
107,236,4,,212,,212
111,237,4,,213,,213
115,238,8,,214,,214
123,239,2,,215,,215
125,240,1,,215,,215
126,241,2,,216,,216
128,242,9,,216,,216
137,243,2,,217,,217
139,244,7,,217,,217
146,245,10,,218,,218
156,246,4,,219,,219
160,247,6,,219,,219
166,248,2,,219,,219
168,249,4,,220,,220
172,250,6,,221,,221
178,251,4,,222,,222
182,253,2,,222,,222
184,254,2,,224,,224
186,255,4,,224,,224
190,256,3,,224,,224
193,257,2,,226,,226
195,258,4,,226,,226
199,259,3,,227,,227
202,260,4,,227,,227
206,261,1,,228,,228
207,262,3,,228,,228
210,263,1,,229,,229
211,264,1,,229,,229
212,265,1,,230,,230
213,266,1,,230,,230
214,268,1,,230,,230
215,269,1,,231,,231
216,271,2,,231,,231
218,272,2,,231,,231
220,274,1,,231,,231
221,280,1,,232,,232
,,,,232,,232
,,,,232,,232
,,,,233,,233
,,,,233,,233
,,,,233,,233
,,,,234,,234
,,,,234,,234
,,,,234,,234
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,235,,235
,,,,236,,236
,,,,236,,236
,,,,236,,236
,,,,236,,236
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,237,,237
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,238,,238
,,,,239,,239
,,,,239,,239
,,,,240,,240
,,,,241,,241
,,,,241,,241
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,242,,242
,,,,243,,243
,,,,243,,243
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,246,,246
,,,,246,,246
,,,,246,,246
,,,,246,,246
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,248,,248
,,,,248,,248
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,249,,249
,,,,250,,250
,,,,250,,250
,,,,250,,250
,,,,250,,250
,,,,250,,250
,,,,250,,250
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,251,,251
,,,,253,,253
,,,,253,,253
,,,,254,,254
,,,,254,,254
,,,,255,,255
,,,,255,,255
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,256,,256
,,,,256,,256
,,,,257,,257
,,,,257,,257
,,,,258,,258
,,,,258,,258
,,,,258,,258
,,,,258,,258
,,,,259,,259
,,,,259,,259
,,,,259,,259
,,,,260,,260
,,,,260,,260
,,,,260,,260
,,,,260,,260
,,,,261,,261
,,,,262,,262
,,,,262,,262
,,,,262,,262
,,,,263,,263
,,,,264,,264
,,,,265,,265
,,,,266,,266
,,,,268,,268
,,,,269,,269
,,,,271,,271
,,,,271,,271
,,,,272,,272
,,,,272,,272
,,,,274,,274
,,,,280,,280
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
